@ATTRIBUTE scl_mean NUMERIC
@ATTRIBUTE scl_correlation NUMERIC
@ATTRIBUTE scr_mean NUMERIC
@ATTRIBUTE scr_std NUMERIC
@ATTRIBUTE eda_slope NUMERIC
@ATTRIBUTE eda_greater_v NUMERIC
@ATTRIBUTE eda_difference NUMERIC
@ATTRIBUTE eda_mean NUMERIC
@ATTRIBUTE eda_variance NUMERIC
@ATTRIBUTE eda_skewness NUMERIC
@ATTRIBUTE eda_kurtosis NUMERIC

@ATTRIBUTE class {0,1}

@DATA

0.15147,0.7746,0.00072871,0.00053607,0.000512,1,0,0.15353,2.0356e-06,0.3352,0.3352,0
0.15148,0.89443,0.001002,0.00087434,0.003072,2,0.00256,0.15374,2.0852e-06,3.0179e-14,3.0179e-14,0
0.15148,0.94868,0.0015695,0.00073228,0.002048,1,0.00128,0.15395,1.4398e-06,0.35858,0.35858,0
0.15149,0.94388,0.0019945,0.0005154,0.001536,1,0.00128,0.15417,1.2909e-06,0.12069,0.12069,0
0.1515,1,0.0021327,0.00025894,-1.0389e-17,0,0,0.15449,1.3281e-06,0.13191,0.13191,0
0.15151,1,0.0020553,0.00032348,-0.001536,0,-0.00128,0.15459,1.2909e-06,-0.12069,-0.12069,0
0.15152,1,0.0024784,0.0010308,0.00256,1,0.00256,0.15459,1.2909e-06,-0.12069,-0.12069,0
0.15153,0.98271,0.0028519,0.0012393,0.003072,1,0.00128,0.15459,1.2909e-06,-0.12069,-0.12069,0
0.15154,0.98978,0.0032418,0.0010253,0.00256,1,0.00256,0.15481,1.4398e-06,-0.35858,-0.35858,0
0.15156,1,0.0036251,0.00034846,-0.001536,0,-0.00128,0.15502,8.9367e-07,9.1899e-14,9.1899e-14,0
0.15158,1,0.0032282,0.0006284,-0.001536,0,-0.00128,0.15481,8.4402e-07,0.22827,0.22827,0
0.1516,1,0.0031024,0.00048691,-0.000512,1,0,0.15481,8.4402e-07,0.22827,0.22827,0
0.15162,0.99438,0.0033685,0.00083881,0.002048,2,0.00128,0.15481,8.4402e-07,0.22827,0.22827,0
0.15165,0.99655,0.003407,0.00083755,0.002048,2,0.00128,0.1547,9.3091e-07,0.41569,0.41569,0
0.15167,0.99705,0.0033022,0.0010168,-0.002048,1,-0.00128,0.1547,9.3091e-07,0.41569,0.41569,0
0.1517,0.99591,0.0030488,0.0011114,-0.003584,0,-0.00256,0.1547,9.3091e-07,0.41569,0.41569,0
0.15173,1,0.0029647,0.00097712,0.001536,1,0.00128,0.15491,2.229e-06,1.6115,1.6115,0
0.15175,1,0.0029296,0.00095646,0.00256,1,0.00128,0.15481,2.3409e-06,1.6732,1.6732,0
0.15179,0.99726,0.0029658,0.00090882,-0.000512,1,0,0.15481,2.3409e-06,1.6732,1.6732,0
0.15182,0.99827,0.0031307,0.00082038,-0.002048,1,-0.00128,0.15481,2.3409e-06,1.6732,1.6732,0
0.15186,0.99846,0.0028532,0.00052183,0.000512,1,0,0.15481,2.3409e-06,1.6732,1.6732,0
0.15189,0.99782,0.0025318,0.00054724,-3.8038e-17,1,0,0.15491,2.5268e-06,1.3597,1.3597,0
0.15193,1,0.0023845,0.0007455,-0.002048,0,-0.00128,0.15513,2.5265e-06,1.0379,1.0379,0
0.15197,1,0.0025561,0.00098439,-1.2196e-18,1,0,0.15523,2.638e-06,0.80241,0.80241,0
0.15201,1,0.0031924,0.0018181,0.006668,2,0.00513,0.15523,2.638e-06,0.80241,0.80241,0
0.15205,1,0.0033498,0.0017064,0.00154,2,0,0.15555,2.8273e-06,0.44517,0.44517,0
0.15209,0.99838,0.0032317,0.0018833,-0.003588,1,-0.00128,0.15588,2.792e-06,0.13715,0.13715,0
0.15213,0.99897,0.0028202,0.0019214,-0.006156,0,-0.00513,0.15609,2.9425e-06,-0.16012,-0.16012,0
0.15218,0.99838,0.0023495,0.0010884,0.003072,1,0.00256,0.15588,2.1939e-06,-0.41973,-0.41973,0
0.15222,0.99838,0.0027217,0.0014264,0.004096,1,0.00256,0.1563,2.3948e-06,-0.32028,-0.32028,0
