@RELATION <eda-dataset-normc>

@ATTRIBUTE scl_mean NUMERIC
@ATTRIBUTE scl_correlation NUMERIC
@ATTRIBUTE scr_mean NUMERIC
@ATTRIBUTE scr_std NUMERIC
@ATTRIBUTE eda_slope NUMERIC
@ATTRIBUTE eda_greater_v NUMERIC
@ATTRIBUTE eda_difference NUMERIC
@ATTRIBUTE eda_mean NUMERIC
@ATTRIBUTE eda_variance NUMERIC
@ATTRIBUTE eda_skewness NUMERIC
@ATTRIBUTE eda_kurtosis NUMERIC

@ATTRIBUTE class {0,1}

@DATA

0.004737,0.0049254,0.0011975,0.003184,0.0011991,0.0053482,0,0.0047153,0.0032997,0.0020735,0.0020735,0
0.0047371,0.0056874,0.0016466,0.0051931,0.0071944,0.010696,0.0075906,0.0047219,0.0033802,1.8668e-16,1.8668e-16,0
0.0047372,0.0060324,0.0025792,0.0043494,0.0047962,0.0053482,0.0037953,0.0047284,0.002334,0.0022181,0.0022181,0
0.0047375,0.0060018,0.0032777,0.0030612,0.0035972,0.0053482,0.0037953,0.004735,0.0020925,0.00074654,0.00074654,0
0.0047377,0.0063587,0.0035048,0.001538,-2.433e-17,0,0,0.0047448,0.0021529,0.00081596,0.00081596,0
0.004738,0.0063587,0.0033776,0.0019213,-0.0035972,0,-0.0037953,0.0047481,0.0020925,-0.00074654,-0.00074654,0
0.0047383,0.0063587,0.0040728,0.0061222,0.0059953,0.0053482,0.0075906,0.0047481,0.0020925,-0.00074654,-0.00074654,0
0.0047387,0.0062487,0.0046866,0.0073606,0.0071944,0.0053482,0.0037953,0.0047481,0.0020925,-0.00074654,-0.00074654,0
0.0047392,0.0062937,0.0053274,0.0060899,0.0059953,0.0053482,0.0075906,0.0047546,0.002334,-0.0022181,-0.0022181,0
0.0047397,0.0063587,0.0059573,0.0020697,-0.0035972,0,-0.0037953,0.0047612,0.0014487,5.6847e-16,5.6847e-16,0
0.0047404,0.0063587,0.0053051,0.0037324,-0.0035972,0,-0.0037953,0.0047546,0.0013682,0.001412,0.001412,0
0.004741,0.0063587,0.0050983,0.002892,-0.0011991,0.0053482,0,0.0047546,0.0013682,0.001412,0.001412,0
