@relation <eda-dataset>-weka.filters.supervised.instance.SMOTE-C0-K5-P1000.0-S1-weka.filters.supervised.instance.SpreadSubsample-M2.0-X0.0-S1-weka.filters.unsupervised.instance.Randomize-S42

@attribute scl_mean numeric
@attribute scl_correlation numeric
@attribute scr_mean numeric
@attribute scr_std numeric
@attribute eda_slope numeric
@attribute eda_greater_v numeric
@attribute eda_difference numeric
@attribute eda_mean numeric
@attribute eda_variance numeric
@attribute eda_skewness numeric
@attribute eda_kurtosis numeric
@attribute class {0,1}

@data
0.12329,0.99892,0.002082,0.000726,-0.000376,1,0,0.12592,0.000002,1.4289,1.4289,0
0.1526,0.98735,0.005105,0.001596,-0.002653,1,0,0.15693,0.000003,1.4053,1.4053,0
0.321674,-0.999757,0.004609,0.001191,0.00312,1,0.000803,0.323724,0.000005,0.360015,0.517491,1
0.14255,0,0.003155,0.000901,-0.001506,1,-0.00128,0.1459,0.000001,0.22827,0.22827,0
0.40577,0.75048,0.007467,0.000546,0,1,0,0.41467,0.000008,1.3757,1.3757,0
0.1219,0.98978,0.003315,0.000528,0.001536,1,0.00128,0.12523,0.000001,0.14826,0.14826,0
0.20807,0.99997,0.016572,0.000518,0.000512,1,0,0.22549,0.000001,-0,-0,0
0.12621,0.99887,0.002219,0.000975,-0.002273,1,-0.00129,0.12913,0.000002,0.80941,0.80941,0
0.16212,0.91915,0.00238,0.00101,-0.00309,0,-0.00256,0.16483,0.000002,1.3037,1.3037,0
0.13417,-0.89443,0.00409,0.000329,-0,0,0,0.13836,0,-0,-0,0
0.32887,-0.99655,0.004619,0.001149,-0.002874,1,-0.00128,0.33418,0.000003,1.0244,1.0244,0
0.14622,0.99595,0.00269,0.000401,0.001506,1,0.00128,0.15021,0.000003,0.8981,0.8981,0
0.15581,-0.95182,0.001527,0.000361,0.001545,1,0.00128,0.15778,0.000001,1.3168,1.3168,0
0.161886,-0.972483,0.002896,0.003618,-0.006028,0,-0.004039,0.144327,0.000007,0.275998,0.322673,1
0.13635,0,0.002518,0.001639,-0.001129,1,0,0.13874,0.000003,0.84976,0.84976,0
0.11678,-0.94868,0.001632,0.000957,-0.003072,0,-0.00256,0.11887,0.000002,1.1525,1.1525,0
0.10665,0.98978,0.004219,0.000868,0.001024,1,0,0.11001,0.000001,1.0245,1.0245,0
0.15428,1,0.002722,0.001342,0.004419,2,0.00256,0.15704,0.000003,1.5804,1.5804,0
0.12778,-0.97855,0.003684,0.001681,0.005297,3,0.00384,0.13116,0.000002,0.85984,0.85984,0
0.287686,-0.999643,0.002669,0.000946,-0.00239,0,-0.00146,0.274227,0.000001,-0.285544,-0.275755,1
0.12301,0.99929,0.002927,0.000518,0.000662,1,0,0.12614,0.000003,0.94392,0.94392,0
0.12594,0,0.002453,0.000447,0.001548,1,0.00129,0.12891,0,-0.33806,-0.33806,0
0.31919,0.99864,0.003809,0.000918,0.001536,1,0.00128,0.32414,0.000001,0.65727,0.65727,1
0.15057,0,0.004248,0.000514,-0.001506,0,-0.00128,0.15416,0.000001,-0.6261,-0.6261,0
