@relation '<eda-dataset>-weka.filters.supervised.instance.SMOTE-C0-K5-P1000.0-S1-weka.filters.supervised.instance.SpreadSubsample-M2.0-X0.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R3-4,6,9-11'

@attribute scl_mean numeric
@attribute scl_correlation numeric
@attribute eda_slope numeric
@attribute eda_difference numeric
@attribute eda_mean numeric
@attribute class {0,1}

@data
0.12329,0.99892,-0.000376,0,0.12592,0
0.1526,0.98735,-0.002653,0,0.15693,0
0.321674,-0.999757,0.00312,0.000803,0.323724,1
0.14255,0,-0.001506,-0.00128,0.1459,0
0.40577,0.75048,0,0,0.41467,0
0.1219,0.98978,0.001536,0.00128,0.12523,0
0.20807,0.99997,0.000512,0,0.22549,0
0.12621,0.99887,-0.002273,-0.00129,0.12913,0
0.16212,0.91915,-0.00309,-0.00256,0.16483,0
0.13417,-0.89443,-0,0,0.13836,0
0.32887,-0.99655,-0.002874,-0.00128,0.33418,0
0.14622,0.99595,0.001506,0.00128,0.15021,0
0.15581,-0.95182,0.001545,0.00128,0.15778,0
0.161886,-0.972483,-0.006028,-0.004039,0.144327,1
0.13635,0,-0.001129,0,0.13874,0
0.11678,-0.94868,-0.003072,-0.00256,0.11887,0
0.10665,0.98978,0.001024,0,0.11001,0
0.15428,1,0.004419,0.00256,0.15704,0
0.12778,-0.97855,0.005297,0.00384,0.13116,0
0.287686,-0.999643,-0.00239,-0.00146,0.274227,1
0.12301,0.99929,0.000662,0,0.12614,0
0.12594,0,0.001548,0.00129,0.12891,0
0.31919,0.99864,0.001536,0.00128,0.32414,1
0.15057,0,-0.001506,-0.00128,0.15416,0
0.321036,-0.974141,0.002725,0.001211,0.325533,1
0.319047,0.93347,0.000254,0.00013,0.323505,1
0.12777,0.99827,0,0,0.13073,0
0.40179,0.99661,0.007724,0.0064,0.41136,0
0.41021,0.9824,-0.011309,-0.00897,0.4183,0
0.26587,0.99782,0.001536,0.00128,0.26958,0
0.279523,0.996745,0.000354,0.000107,0.249295,1
0.257072,-0.836412,-0.002405,-0.002434,0.284537,1
0.12602,0.89443,0.000512,0,0.12875,0
0.307967,-0.41455,-0.000822,0.000796,0.249716,1
0.35048,0.99655,-0.002207,-0.00128,0.35692,0
0.12792,-1,0,0,0.13094,0
0.16211,-0.85749,-0.003012,-0.00256,0.16451,0
0.31851,1,-0.000691,-0.000235,0.324384,1
0.216232,-0.998506,-0.004448,-0.003064,0.285065,1
0.120683,0.992638,-0.002371,-0.001733,0.140982,1
0.151694,0.997027,0.001664,0.00128,0.154071,1
0.10655,0.99591,0.000512,0,0.10862,0
0.13125,0.99838,0.001548,0.00129,0.13495,0
0.264502,0.999905,-0.000734,-0.00026,0.299175,1
0.1373,-0.79212,0.000376,0,0.13991,0
0.16208,0.98735,-0.000662,0,0.16355,0
0.319655,-1,-0.001747,-0.00128,0.324629,1
0.321021,0.9461,-0.001091,-0.000714,0.325886,1
0.145408,0.991029,-0.000599,-0.000947,0.147127,1
0.1275,0,0.001126,0.00128,0.12956,0
0.11665,-1,0.001024,0,0.11957,0
0.12681,-0.7746,0.00256,0.00128,0.13056,0
0.316018,0.999859,-0.004486,-0.00252,0.321903,1
0.11676,0.89443,0,0,0.11908,0
0.30524,1,0.001036,0.00129,0.31005,0
0.12331,-0.99977,0.004141,0.00384,0.12603,0
0.3232,-0.99705,-0.001506,-0.00128,0.32883,0
0.318524,-0.999102,0.000102,-0.000547,0.32393,1
0.14085,0.99178,-0.003072,-0.00256,0.14316,0
0.31838,0.99838,0.00718,0.00641,0.322,1
0.33897,0.99379,-0.001329,0,0.34261,0
0.12598,-0.98271,-0.001548,-0.00129,0.12838,0
0.13437,0.7746,-0.00512,-0.00256,0.13783,0
0.12665,0.94388,-0.001024,-0.00128,0.12939,0
0.16235,-0.99705,0.000376,0,0.16462,0
0.16276,0.99887,-0.001882,-0.00128,0.16558,0
0.11175,1,0,0,0.11471,0
0.11145,-1,-0.002064,-0.00129,0.11321,0
0.12462,-0.99476,0.001506,0.00128,0.12645,0
0.11774,0.99744,0.005282,0.00385,0.11983,0
0.15063,0.99353,0,0,0.15405,0
0.42058,0.99705,-0.004529,-0.00385,0.42973,0
0.321017,0.933164,-0.000489,-0.000627,0.326157,1
0.32066,1,0.005462,0.005473,0.322387,1
0.124303,0.97521,-0.005505,-0.003237,0.11942,1
0.14069,-0.99228,0.002564,0.00128,0.14487,0
0.14499,-0.89443,-0.001024,-0.00128,0.14808,0
0.301893,0.997899,-0.005273,-0.004022,0.247982,1
0.12636,1,0.00154,0,0.12891,0
0.116272,0.98978,0.000512,0,0.11844,1
0.16207,0.79212,0,0,0.16515,0
0.13441,-0.99228,0.003584,0.00256,0.13729,0
0.12862,0.92848,-0.001545,-0.00128,0.13052,0
0.35176,0.99705,0.001882,0,0.35756,0
0.31963,-0.999054,-0.003123,0.000855,0.324995,1
0.37046,0.99435,-0.001557,-0.00129,0.37485,0
0.33845,-0.98735,-0.008398,-0.00641,0.34197,0
0.38748,0.99655,-0.001545,-0.00128,0.39375,0
0.12284,-0.99119,-0.003757,-0.00256,0.12635,0
0.13355,-0.97014,-0.000376,0,0.13553,0
0.318509,0.997308,0.000949,-0.000241,0.32201,1
0.16244,0.99655,-0,0,0.16558,0
0.087971,0.99997,-0.002389,-0.000087,0.090551,1
0.11693,0.99931,-0,0,0.12042,0
0.141981,0.999248,-0.000741,0,0.130942,1
0.1077,0.99827,0.001536,0.00128,0.11001,0
0.17421,1,-0.001036,-0.00129,0.17894,0
0.1255,0.99705,0.000376,0,0.12731,0
0.31814,0.98907,-0.001536,-0.00128,0.32136,0
0.194409,-0.830524,0.000333,-0.000422,0.206256,1
0.1251,-0.98271,-0.003596,-0.00257,0.12827,0
0.16398,0.99655,-0.002207,-0.00128,0.16579,0
0.15218,0.99553,0.000667,0,0.15618,0
0.321026,0.945685,-0.000404,-0.000334,0.325905,1
0.11254,1,-0.000512,-0.00128,0.11514,0
0.318474,-0.999612,0.000052,0,0.32393,1
0.321434,-1,-0.000951,0.000125,0.325941,1
0.098247,0.99942,-0.002051,-0.001282,0.1004,0
0.12923,-0.365755,-0.001676,-0.000241,0.131213,1
0.1273,0.94388,-0.001536,-0.00128,0.13056,0
0.156296,0.999244,-0.00314,-0.00256,0.156732,1
0.12596,0.99655,0.002564,0.00128,0.12795,0
0.14077,-1,-0.001024,-0.00128,0.14316,0
0.12527,1,-0.003584,-0.00256,0.12667,0
0.1126,1,-0.001024,0,0.11503,0
0.111868,0.998975,-0.001982,-0.001247,0.104484,1
0.138336,0.999018,-0.001945,-0.00128,0.128844,1
0.36267,-0.99083,0.004894,0.00384,0.36813,0
0.126073,1,-0.001502,-0.002229,0.123425,1
0.12718,0.7746,-0,0,0.13024,0
0.41908,0.99176,-0.002259,-0.00128,0.42471,0
0.315305,0.996279,-0.000973,-0.001114,0.250343,1
0.151218,0.998789,0.001881,0.000531,0.318877,1
0.14055,0.99887,0.001882,0.00128,0.14215,0
0.207229,0.99923,-0.003185,-0.001851,0.20891,1
0.318624,0.999449,0.001832,0.00128,0.32421,1
0.14035,0.99476,0,0,0.14301,0
0.12519,-0.7746,0.001036,0.00129,0.12763,0
0.318427,0.997924,0.003596,0.00004,0.322133,1
0.14383,-0.98724,0.006024,0.00512,0.14643,0
0.321454,-0.999968,-0.002,-0.000624,0.32585,1
0.16393,-0.99476,0.001506,0.00128,0.1675,0
0.13346,0.9845,0.000512,0,0.13644,0
0.38873,0.99281,0.002262,0.00128,0.39727,0
0.16195,-1,0.002207,0.00128,0.16451,0
0.25632,0.94868,0.001536,0.00128,0.26211,0
0.292943,0.996178,0.000009,0.001008,0.19984,1
0.271618,-0.997648,-0.001195,-0.000429,0.248409,1
0.123095,0,-0.000309,0.000713,0.129623,1
0.33877,-0.99705,0.001506,0,0.34453,0
0.14405,0.7746,-0.002052,-0.00128,0.14669,0
0.320097,0.999352,0.001137,0,0.323319,1
0.316738,0.999744,0.00088,-0.000789,0.32184,1
0.15459,-0.98561,0.003012,0.00256,0.15672,0
0.1474,0.75048,-0.003531,-0.00128,0.15138,0
0.141171,0.997879,0.002056,0.001068,0.141812,1
0.18551,0.99949,0.001024,0.00128,0.18865,0
0.31773,-1,0.000512,0,0.32371,1
0.318148,0.998632,0.007026,0.006289,0.322155,1
0.12858,0.99655,-0.002207,-0.00128,0.13084,0
0.13892,0.99309,0.001129,0.00128,0.14087,0
0.13998,0.99705,0.001132,0,0.1429,0
0.13201,-0.99438,-0.002052,-0.00128,0.13527,0
0.25227,0.99838,-0.003084,-0.00257,0.25655,0
0.12805,-0.98735,-0.000662,0,0.13009,0
0.12753,-0.89443,0.000512,0,0.12859,0
0.294026,1,-0.002928,-0.000565,0.322803,1
0.32196,-0.94388,0,0,0.32948,0
0.212418,0.991639,-0.00617,-0.005125,0.20768,1
0.1577,0.99655,-0.000216,-0.00128,0.1595,0
0.13606,-0.91915,-0.00331,-0.00384,0.13863,0
0.085251,1,-0.001538,-0.001282,0.086831,0
0.320126,1,-0.001259,-0.00243,0.325195,1
0.320895,0.999105,0.000342,0,0.32509,1
0.32069,0.99893,0.004096,0.00256,0.32542,1
0.315438,0.999591,-0.004565,-0.002343,0.322671,1
0.33525,0.99392,-0.004414,-0.00256,0.34122,0
0.33628,-0.97868,-0.001882,-0.00128,0.33983,0
0.116185,0.9971,0.000041,0.000506,0.11844,1
0.116216,0.998076,0.001165,0.000559,0.11844,1
0.13088,-0.99965,-0.003084,-0.00257,0.13366,0
0.318325,-0.999188,0.004392,0.000517,0.325013,1
0.13847,0.99705,-0.001882,-0.00128,0.14023,0
0.33259,0.99705,0,0,0.33791,0
0.1216,0.98271,-0.001548,-0.00129,0.12395,0
0.317816,-0.999408,-0.000793,-0.001428,0.323742,1
0.318929,-0.94396,-0.001972,-0.000174,0.324079,1
0.32253,0.98907,0.006656,0.00384,0.32745,0
0.15847,-0.99655,0.002648,0.00384,0.16163,0
0.15735,-0.79212,-0.001506,-0.00128,0.16057,0
0.319005,0.999623,-0.001882,-0.000798,0.32501,1
0.14268,0.94868,-0.001548,-0.00129,0.14476,0
0.12784,-0.98271,0.000516,0,0.12881,0
0.11655,0.98978,-0.003584,-0.00256,0.1185,0
0.24625,0.99827,0.001536,0.00128,0.25154,0
0.1043,1,-0.001548,-0.00129,0.10713,0
0.12536,0.79212,-0.001506,-0.00128,0.12677,0
0.14552,-0.75048,0.000662,0,0.1484,0
0.15943,-0.99655,0.002207,0.00128,0.16046,0
0.097253,0.99992,-0.000513,0,0.099007,0
0.163188,0.999109,0.001931,0.00113,0.216035,1
0.319604,-0.996982,0.000708,0.001646,0.324928,1
0.3388,-0.99511,0.000883,0.00128,0.34378,0
0.15032,-0.99407,-0.001506,-0.00128,0.15352,0
0.1254,0.97014,0.001132,0,0.12816,0
0.317941,-0.999969,0.004607,0.00256,0.325786,1
0.12437,1,-0,0,0.12672,0
0.13348,0.99887,0.00075,0.00128,0.13553,0
0.11494,1,0.001536,0.00128,0.11738,0
0.318376,0.999949,-0.002491,-0.001945,0.32222,1
0.319042,-0.91522,-0.000156,0.001616,0.324173,1
0.14267,0.75048,-0.005314,-0.00385,0.14408,0
0.141564,0.997258,0.00136,0.00128,0.128441,1
0.12891,0.99708,0.000221,0.00128,0.13212,0
0.11838,0,0.000116,0,0.12047,1
0.126356,0.986311,0.002932,0.002329,0.12806,1
0.317681,0.89939,0.000184,-0.000613,0.323112,1
0.116371,0.991556,-0.000158,-0.000811,0.11844,1
0.30512,1,0.00154,0,0.30833,0
0.099729,-0.99996,0.003072,0.00256,0.10285,0
0.14871,0,-0.000376,0,0.15138,0
0.13751,0,0.001506,0.00128,0.13949,0
0.12375,0.99281,-0,0,0.12496,0
0.10251,0.9996,0.001548,0.00129,0.10541,0
0.1629,0.99705,0.001506,0.00128,0.16547,0
0.14128,-1,-0.003596,-0.00257,0.14401,0
0.25627,0.94388,0.002048,0,0.26072,0
0.10197,1,-0.002048,-0.00128,0.10338,0
0.126741,0,-0.001615,-0.002306,0.127717,1
0.224628,-0.151733,-0.002292,-0.002507,0.271989,1
0.11865,0.98724,-0.000667,0,0.12037,0
0.25841,0.99931,-0.008188,-0.00768,0.26456,0
0.12805,0.95182,-0.003764,-0.00257,0.13009,0
0.40693,0.99708,-0.000662,0,0.41393,0
0.10466,1,0.002048,0.00128,0.10702,0
0.13953,-0.99929,0.002207,0.00128,0.1413,0
0.3666,0.99696,0.003752,0.00256,0.37133,0
0.10597,0.99846,0.000512,0.00128,0.1083,0
0.10432,1,0.00102,0.00128,0.10713,0
0.12686,-0.97855,0.001324,0,0.1303,0
0.12149,0.89443,0.001536,0.00128,0.12502,0
0.13297,0,-0.003536,-0.00128,0.13532,0
0.13775,1,0.002048,0.00128,0.13975,0
0.33613,0.99655,0.000883,0.00128,0.34154,0
0.1219,0.99893,-0,0,0.12336,0
0.25303,-0.7746,-0.000512,0,0.25912,0
0.13433,0,-0.001536,-0.00128,0.13719,0
0.099821,0.99987,-0.001536,-0.00128,0.10136,0
0.114934,0.99795,0.000742,0.000858,0.098749,1
0.11227,0.99906,0.001036,0.00129,0.11428,0
0.320891,0.999122,0.000389,0,0.325067,1
0.321046,-0.994653,-0.002569,0.000891,0.325559,1
0.316849,1,-0.002953,-0.003008,0.325404,1
0.30873,0.99989,-0.002044,-0.00384,0.31474,0
0.12696,-0.99655,-0.001545,-0.00128,0.1303,0
0.320742,0.996524,-0.000007,-0.000059,0.325422,1
0.129215,0,-0.001773,-0.00128,0.122063,1
0.127454,-0.218185,0.004484,0.001485,0.127006,1
0.16342,0.85749,0.004518,0.00384,0.16665,0
0.152894,0.999952,-0.003329,-0.00256,0.153899,1
0.116177,0.98978,0.000103,0,0.11844,1
0.32117,0.99228,0.002048,0.00128,0.3267,0
0.13994,0.99655,-0.00309,-0.00256,0.14151,0
0.317907,1,-0.001573,-0.00129,0.32125,1
0.13326,0.99381,-0.000512,0,0.13655,0
0.15763,0.97304,-0.003972,-0.00384,0.16142,0
0.38341,1,0.001506,0.00128,0.39023,0
0.14537,0.99705,0.004141,0.00384,0.14797,0
0.161555,0.856252,-0.001013,-0.00114,0.164772,1
0.10502,-0.99827,-0.004096,-0.00384,0.10798,0
0.116344,0.991224,-0.001951,-0.00128,0.11844,1
