1.535.125.280;[sample number];[timestamp per row];[timestamp from unix to excel friendly with timezone offset];[second];[binomial];[label];;FECHA Y HORA INICIAL;;;
4;;;;;;;;;;;
0.000000;0;1535125280,00;;0;0;nonseizure;;10:41:20;;;
0.836457;1;1535125280,25;10:41:20,25;0,25;0;nonseizure;;;;;
1.180.017;2;1535125280,50;10:41:20,50;0,5;0;nonseizure;;;;;
1.618.170;3;1535125280,75;10:41:20,75;0,75;0;nonseizure;;CRISIS EPILÉPTICAS;;;
2.096.061;4;1535125281,00;10:41:21,00;1;0;nonseizure;;;;;
2.584.301;5;1535125281,25;10:41:21,25;1,25;0;nonseizure;;INICIO;FIN;;
3.099.546;6;1535125281,50;10:41:21,50;1,5;0;nonseizure;;10:47:06;10:47:06;;
3.291.314;7;1535125281,75;10:41:21,75;1,75;0;nonseizure;;10:47:07;10:47:07;;
3.307.967;8;1535125282,00;10:41:22,00;2;0;nonseizure;;10:56:32;10:56:32;;
3.346.395;9;1535125282,25;10:41:22,25;2,25;0;nonseizure;;11:01:46;11:01:46;;
3.418.128;10;1535125282,50;10:41:22,50;2,5;0;nonseizure;;11:01:49;11:01:49;;
3.502.671;11;1535125282,75;10:41:22,75;2,75;0;nonseizure;;;;;
3.605.293;12;1535125283,00;10:41:23,00;3;0;nonseizure;;;;;
3.669.340;13;1535125283,25;10:41:23,25;3,25;0;nonseizure;;;;;
3.710.331;14;1535125283,50;10:41:23,50;3,5;0;nonseizure;;SEIZURE;NONSEIZURE;TOTAL;
3.737.231;15;1535125283,75;10:41:23,75;3,75;0;nonseizure;;16;7496;7512;
3.751.321;16;1535125284,00;10:41:24,00;4;0;nonseizure;;;;;
3.751.321;17;1535125284,25;10:41:24,25;4,25;0;nonseizure;;;;;
3.733.388;18;1535125284,50;10:41:24,50;4,5;0;nonseizure;;;;;
3.714.174;19;1535125284,75;10:41:24,75;4,75;0;nonseizure;;;;;
3.701.364;20;1535125285,00;10:41:25,00;5;0;nonseizure;;;;;
3.684.712;21;1535125285,25;10:41:25,25;5,25;0;nonseizure;;;;;
3.670.621;22;1535125285,50;10:41:25,50;5,5;0;nonseizure;;;;;
3.671.902;23;1535125285,75;10:41:25,75;5,75;0;nonseizure;;;;;
3.674.464;24;1535125286,00;10:41:26,00;6;0;nonseizure;;;;;
3.675.745;25;1535125286,25;10:41:26,25;6,25;0;nonseizure;;;;;
3.668.059;26;1535125286,50;10:41:26,50;6,5;0;nonseizure;;;;;
3.661.655;27;1535125286,75;10:41:26,75;6,75;0;nonseizure;;;;;
3.652.688;28;1535125287,00;10:41:27,00;7;0;nonseizure;;;;;
3.648.845;29;1535125287,25;10:41:27,25;7,25;0;nonseizure;;;;;
3.639.879;30;1535125287,50;10:41:27,50;7,5;0;nonseizure;;;;;
3.643.722;31;1535125287,75;10:41:27,75;7,75;0;nonseizure;;;;;
3.664.217;32;1535125288,00;10:41:28,00;8;0;nonseizure;;;;;
3.730.826;33;1535125288,25;10:41:28,25;8,25;0;nonseizure;;;;;
3.808.964;34;1535125288,50;10:41:28,50;8,5;0;nonseizure;;;;;
3.865.325;35;1535125288,75;10:41:28,75;8,75;0;nonseizure;;;;;
