1.535.128.731;[sample number];[timestamp per row];[timestamp from unix to excel friendly with timezone offset];[second];[binomial];[label];;FECHA Y HORA INICIAL;;
4;;;;;;;;11:38:51;;
0.000000;0;1535128731,00;;0;0;nonseizure;;;;
0.838918;1;1535128731,25;11:38:51,25;0,25;0;nonseizure;;;;
1.182.437;2;1535128731,50;11:38:51,50;0,5;0;nonseizure;;;;
1.620.537;3;1535128731,75;11:38:51,75;0,75;0;nonseizure;;CRISIS EPILÉPTICAS;;
2.098.371;4;1535128732,00;11:38:52,00;1;0;nonseizure;;;;
2.586.552;5;1535128732,25;11:38:52,25;1,25;0;nonseizure;;INICIO;FIN;
3.101.735;6;1535128732,50;11:38:52,50;1,5;0;nonseizure;;12:00:36;12:00:43;
3.568.850;7;1535128732,75;11:38:52,75;1,75;0;nonseizure;;12:00:39;12:00:43;
3.607.421;8;1535128733,00;11:38:53,00;2;0;nonseizure;;12:00:50;12:00:54;
3.599.736;9;1535128733,25;11:38:53,25;2,25;0;nonseizure;;12:04:13;12:04:19;
3.593.332;10;1535128733,50;11:38:53,50;2,5;0;nonseizure;;12:20:19;12:20:21;
3.668.899;11;1535128733,75;11:38:53,75;2,75;0;nonseizure;;;;
3.826.436;12;1535128734,00;11:38:54,00;3;0;nonseizure;;;;
3.981.412;13;1535128734,25;11:38:54,25;3,25;0;nonseizure;;;;
4.127.332;14;1535128734,50;11:38:54,50;3,5;0;nonseizure;;SEIZURE;NONSEIZURE;TOTAL
4.187.529;15;1535128734,75;11:38:54,75;3,75;0;nonseizure;;80;7096;7176
4.199.056;16;1535128735,00;11:38:55,00;4;0;nonseizure;;;;
4.167.037;17;1535128735,25;11:38:55,25;4,25;0;nonseizure;;;;
4.105.558;18;1535128735,50;11:38:55,50;4,5;0;nonseizure;;;;
4.042.799;19;1535128735,75;11:38:55,75;4,75;0;nonseizure;;;;
3.983.883;20;1535128736,00;11:38:56,00;5;0;nonseizure;;;;
3.933.932;21;1535128736,25;11:38:56,25;5,25;0;nonseizure;;;;
3.901.912;22;1535128736,50;11:38:56,50;5,5;0;nonseizure;;;;
3.875.016;23;1535128736,75;11:38:56,75;5,75;0;nonseizure;;;;
3.862.208;24;1535128737,00;11:38:57,00;6;0;nonseizure;;;;
3.844.277;25;1535128737,25;11:38:57,25;6,25;0;nonseizure;;;;
3.850.681;26;1535128737,50;11:38:57,50;6,5;0;nonseizure;;;;
3.974.918;27;1535128737,75;11:38:57,75;6,75;0;nonseizure;;;;
4.231.076;28;1535128738,00;11:38:58,00;7;0;nonseizure;;;;
4.396.298;29;1535128738,25;11:38:58,25;7,25;0;nonseizure;;;;
4.436.002;30;1535128738,50;11:38:58,50;7,5;0;nonseizure;;;;
4.372.703;31;1535128738,75;11:38:58,75;7,75;0;nonseizure;;;;
4.303.540;32;1535128739,00;11:38:59,00;8;0;nonseizure;;;;
4.274.082;33;1535128739,25;11:38:59,25;8,25;0;nonseizure;;;;
4.306.101;34;1535128739,50;11:38:59,50;8,5;0;nonseizure;;;;
4.353.490;35;1535128739,75;11:38:59,75;8,75;0;nonseizure;;;;
4.390.634;36;1535128740,00;11:39:00,00;9;0;nonseizure;;;;
4.391.914;37;1535128740,25;11:39:00,25;9,25;0;nonseizure;;;;
4.435.461;38;1535128740,50;11:39:00,50;9,5;0;nonseizure;;;;
4.476.447;39;1535128740,75;11:39:00,75;9,75;0;nonseizure;;;;
4.491.816;40;1535128741,00;11:39:01,00;10;0;nonseizure;;;;
4.576.348;41;1535128741,25;11:39:01,25;10,25;0;nonseizure;;;;
4.642.950;42;1535128741,50;11:39:01,50;10,5;0;nonseizure;;;;
4.653.196;43;1535128741,75;11:39:01,75;10,75;0;nonseizure;;;;
4.621.176;44;1535128742,00;11:39:02,00;11;0;nonseizure;;;;
4.559.698;45;1535128742,25;11:39:02,25;11,25;0;nonseizure;;;;
4.491.816;46;1535128742,50;11:39:02,50;11,5;0;nonseizure;;;;
4.404.722;47;1535128742,75;11:39:02,75;11,75;0;nonseizure;;;;
4.320.190;48;1535128743,00;11:39:03,00;12;0;nonseizure;;;;
4.249.746;49;1535128743,25;11:39:03,25;12,25;0;nonseizure;;;;
4.195.953;50;1535128743,50;11:39:03,50;12,5;0;nonseizure;;;;
4.149.845;51;1535128743,75;11:39:03,75;12,75;0;nonseizure;;;;
4.101.175;52;1535128744,00;11:39:04,00;13;0;nonseizure;;;;
4.039.697;53;1535128744,25;11:39:04,25;13,25;0;nonseizure;;;;
3.961.568;54;1535128744,50;11:39:04,50;13,5;0;nonseizure;;;;
3.996.150;55;1535128744,75;11:39:04,75;13,75;0;nonseizure;;;;
4.094.771;56;1535128745,00;11:39:05,00;14;0;nonseizure;;;;
4.166.495;57;1535128745,25;11:39:05,25;14,25;0;nonseizure;;;;
4.224.131;58;1535128745,50;11:39:05,50;14,5;0;nonseizure;;;;
4.233.096;59;1535128745,75;11:39:05,75;14,75;0;nonseizure;;;;
4.202.357;60;1535128746,00;11:39:06,00;15;0;nonseizure;;;;
4.138.318;61;1535128746,25;11:39:06,25;15,25;0;nonseizure;;;;
4.071.716;62;1535128746,50;11:39:06,50;15,5;0;nonseizure;;;;
4.020.485;63;1535128746,75;11:39:06,75;15,75;0;nonseizure;;;;
3.964.130;64;1535128747,00;11:39:07,00;16;0;nonseizure;;;;
3.916.741;65;1535128747,25;11:39:07,25;16,25;0;nonseizure;;;;
3.871.174;66;1535128747,50;11:39:07,50;16,5;0;nonseizure;;;;
3.827.627;67;1535128747,75;11:39:07,75;16,75;0;nonseizure;;;;
3.794.326;68;1535128748,00;11:39:08,00;17;0;nonseizure;;;;
3.785.361;69;1535128748,25;11:39:08,25;17,25;0;nonseizure;;;;
3.812.257;70;1535128748,50;11:39:08,50;17,5;0;nonseizure;;;;
3.864.770;71;1535128748,75;11:39:08,75;17,75;0;nonseizure;;;;
4.013.341;72;1535128749,00;11:39:09,00;18;0;nonseizure;;;;
4.273.342;73;1535128749,25;11:39:09,25;18,25;0;nonseizure;;;;
4.512.850;74;1535128749,50;11:39:09,50;18,5;0;nonseizure;;;;
4.723.639;75;1535128749,75;11:39:09,75;18,75;0;nonseizure;;;;
4.826.103;76;1535128750,00;11:39:10,00;19;0;nonseizure;;;;
4.849.157;77;1535128750,25;11:39:10,25;19,25;0;nonseizure;;;;
4.814.575;78;1535128750,50;11:39:10,50;19,5;0;nonseizure;;;;
4.773.590;79;1535128750,75;11:39:10,75;19,75;0;nonseizure;;;;
4.708.270;80;1535128751,00;11:39:11,00;20;0;nonseizure;;;;
4.664.723;81;1535128751,25;11:39:11,25;20,25;0;nonseizure;;;;
4.735.167;82;1535128751,50;11:39:11,50;20,5;0;nonseizure;;;;
4.833.787;83;1535128751,75;11:39:11,75;20,75;0;nonseizure;;;;
4.895.265;84;1535128752,00;11:39:12,00;21;0;nonseizure;;;;
4.931.128;85;1535128752,25;11:39:12,25;21,25;0;nonseizure;;;;
4.917.039;86;1535128752,50;11:39:12,50;21,5;0;nonseizure;;;;
4.849.157;87;1535128752,75;11:39:12,75;21,75;0;nonseizure;;;;
4.751.817;88;1535128753,00;11:39:13,00;22;0;nonseizure;;;;
4.655.757;89;1535128753,25;11:39:13,25;22,25;0;nonseizure;;;;
4.577.629;90;1535128753,50;11:39:13,50;22,5;0;nonseizure;;;;
4.489.254;91;1535128753,75;11:39:13,75;22,75;0;nonseizure;;;;
4.429.057;92;1535128754,00;11:39:14,00;23;0;nonseizure;;;;
4.380.387;93;1535128754,25;11:39:14,25;23,25;0;nonseizure;;;;
4.339.402;94;1535128754,50;11:39:14,50;23,5;0;nonseizure;;;;
4.297.136;95;1535128754,75;11:39:14,75;23,75;0;nonseizure;;;;
4.257.431;96;1535128755,00;11:39:15,00;24;0;nonseizure;;;;
4.224.131;97;1535128755,25;11:39:15,25;24,25;0;nonseizure;;;;
4.203.638;98;1535128755,50;11:39:15,50;24,5;0;nonseizure;;;;
4.185.707;99;1535128755,75;11:39:15,75;24,75;0;nonseizure;;;;
4.172.899;100;1535128756,00;11:39:16,00;25;0;nonseizure;;;;
4.156.249;101;1535128756,25;11:39:16,25;25,25;0;nonseizure;;;;
4.147.283;102;1535128756,50;11:39:16,50;25,5;0;nonseizure;;;;
4.148.564;103;1535128756,75;11:39:16,75;25,75;0;nonseizure;;;;
4.178.022;104;1535128757,00;11:39:17,00;26;0;nonseizure;;;;
4.195.953;105;1535128757,25;11:39:17,25;26,25;0;nonseizure;;;;
4.192.111;106;1535128757,50;11:39:17,50;26,5;0;nonseizure;;;;
4.175.460;107;1535128757,75;11:39:17,75;26,75;0;nonseizure;;;;
4.152.406;108;1535128758,00;11:39:18,00;27;0;nonseizure;;;;
4.137.037;109;1535128758,25;11:39:18,25;27,25;0;nonseizure;;;;
4.103.736;110;1535128758,50;11:39:18,50;27,5;0;nonseizure;;;;
4.089.648;111;1535128758,75;11:39:18,75;27,75;0;nonseizure;;;;
4.085.805;112;1535128759,00;11:39:19,00;28;0;nonseizure;;;;
4.083.243;113;1535128759,25;11:39:19,25;28,25;0;nonseizure;;;;
4.080.682;114;1535128759,50;11:39:19,50;28,5;0;nonseizure;;;;
4.056.347;115;1535128759,75;11:39:19,75;28,75;0;nonseizure;;;;
4.043.539;116;1535128760,00;11:39:20,00;29;0;nonseizure;;;;
4.028.170;117;1535128760,25;11:39:20,25;29,25;0;nonseizure;;;;
4.015.362;118;1535128760,50;11:39:20,50;29,5;0;nonseizure;;;;
3.997.431;119;1535128760,75;11:39:20,75;29,75;0;nonseizure;;;;
3.989.746;120;1535128761,00;11:39:21,00;30;0;nonseizure;;;;
3.975.657;121;1535128761,25;11:39:21,25;30,25;0;nonseizure;;;;
3.969.253;122;1535128761,50;11:39:21,50;30,5;0;nonseizure;;;;
3.957.726;123;1535128761,75;11:39:21,75;30,75;0;nonseizure;;;;
3.950.041;124;1535128762,00;11:39:22,00;31;0;nonseizure;;;;
3.930.830;125;1535128762,25;11:39:22,25;31,25;0;nonseizure;;;;
3.935.213;126;1535128762,50;11:39:22,50;31,5;0;nonseizure;;;;
3.922.405;127;1535128762,75;11:39:22,75;31,75;0;nonseizure;;;;
3.910.878;128;1535128763,00;11:39:23,00;32;0;nonseizure;;;;
3.895.509;129;1535128763,25;11:39:23,25;32,25;0;nonseizure;;;;
3.890.385;130;1535128763,50;11:39:23,50;32,5;0;nonseizure;;;;
3.881.420;131;1535128763,75;11:39:23,75;32,75;0;nonseizure;;;;
3.867.331;132;1535128764,00;11:39:24,00;33;0;nonseizure;;;;
3.860.927;133;1535128764,25;11:39:24,25;33,25;0;nonseizure;;;;
3.855.804;134;1535128764,50;11:39:24,50;33,5;0;nonseizure;;;;
3.841.715;135;1535128764,75;11:39:24,75;33,75;0;nonseizure;;;;
3.834.031;136;1535128765,00;11:39:25,00;34;0;nonseizure;;;;
3.823.784;137;1535128765,25;11:39:25,25;34,25;0;nonseizure;;;;
3.845.558;138;1535128765,50;11:39:25,50;34,5;0;nonseizure;;;;
3.944.179;139;1535128765,75;11:39:25,75;34,75;0;nonseizure;;;;
4.092.751;140;1535128766,00;11:39:26,00;35;0;nonseizure;;;;
4.241.322;141;1535128766,25;11:39:26,25;35,25;0;nonseizure;;;;
4.324.574;142;1535128766,50;11:39:26,50;35,5;0;nonseizure;;;;
4.364.278;143;1535128766,75;11:39:26,75;35,75;0;nonseizure;;;;
4.362.998;144;1535128767,00;11:39:27,00;36;0;nonseizure;;;;
4.319.450;145;1535128767,25;11:39:27,25;36,25;0;nonseizure;;;;
4.269.500;146;1535128767,50;11:39:27,50;36,5;0;nonseizure;;;;
4.213.145;147;1535128767,75;11:39:27,75;36,75;0;nonseizure;;;;
4.172.160;148;1535128768,00;11:39:28,00;37;0;nonseizure;;;;
4.132.455;149;1535128768,25;11:39:28,25;37,25;0;nonseizure;;;;
4.104.278;150;1535128768,50;11:39:28,50;37,5;0;nonseizure;;;;
4.077.381;151;1535128768,75;11:39:28,75;37,75;0;nonseizure;;;;
4.059.450;152;1535128769,00;11:39:29,00;38;0;nonseizure;;;;
4.033.834;153;1535128769,25;11:39:29,25;38,25;0;nonseizure;;;;
4.014.622;154;1535128769,50;11:39:29,50;38,5;0;nonseizure;;;;
3.999.253;155;1535128769,75;11:39:29,75;38,75;0;nonseizure;;;;
3.987.725;156;1535128770,00;11:39:30,00;39;0;nonseizure;;;;
3.980.041;157;1535128770,25;11:39:30,25;39,25;0;nonseizure;;;;
3.962.110;158;1535128770,50;11:39:30,50;39,5;0;nonseizure;;;;
3.948.021;159;1535128770,75;11:39:30,75;39,75;0;nonseizure;;;;
3.937.775;160;1535128771,00;11:39:31,00;40;0;nonseizure;;;;
3.932.652;161;1535128771,25;11:39:31,25;40,25;0;nonseizure;;;;
3.931.371;162;1535128771,50;11:39:31,50;40,5;0;nonseizure;;;;
3.905.755;163;1535128771,75;11:39:31,75;40,75;0;nonseizure;;;;
3.901.912;164;1535128772,00;11:39:32,00;41;0;nonseizure;;;;
3.885.262;165;1535128772,25;11:39:32,25;41,25;0;nonseizure;;;;
3.892.947;166;1535128772,50;11:39:32,50;41,5;0;nonseizure;;;;
3.880.139;167;1535128772,75;11:39:32,75;41,75;0;nonseizure;;;;
3.886.543;168;1535128773,00;11:39:33,00;42;0;nonseizure;;;;
3.889.105;169;1535128773,25;11:39:33,25;42,25;0;nonseizure;;;;
3.895.509;170;1535128773,50;11:39:33,50;42,5;0;nonseizure;;;;
3.886.543;171;1535128773,75;11:39:33,75;42,75;0;nonseizure;;;;
3.882.701;172;1535128774,00;11:39:34,00;43;0;nonseizure;;;;
